term,score
搭配,0.12533821448937227
份量,0.11057778211593616
炒蛋,0.10483721753317568
整體,0.08773463706961332
牛肉,0.0760317712115765
清爽,0.07521160807500583
黑糖,0.0735725578177505
漢堡,0.07135006494518017
吐司,0.07119776757102321
優格,0.07092946730313682
推薦,0.06489806881819545
明太子,0.06437467047381164
三明治,0.06278594128936002
酥脆,0.06023416124388671
紅茶,0.05351111660692813
濃郁,0.05317849930476502
今天,0.052103723326177534
蜂蜜,0.0518862216703223
鮮奶茶,0.05062541763854929
喜歡,0.048287566870057856
bbq,0.048077453108525146
附近,0.046537840768557034
巨蛋,0.046537840768557034
雞肉,0.046260025933489185
雞腿,0.045551215790661195
下午,0.04438317639676314
飽足感,0.042336564526016175
牛奶,0.04084073051655775
酸甜,0.04027021650514238
伯爵,0.039050939775337475
