term,score
氣氛,0.1396306794719828
很棒,0.12752027179508707
牛排,0.10481573637866651
喜歡,0.10064193818229053
沙拉,0.09827812194266242
套餐,0.09238891783919025
適合,0.09072808174073468
用餐,0.08963791550802444
空間,0.08454280532861502
聚餐,0.07191224243978417
新鮮,0.07145690552958708
現場,0.07027456123192848
演奏,0.06928770880868167
甜點,0.06711344460274986
午餐,0.06554669502210064
主餐,0.06441889426038666
推薦,0.06228057592426177
服務人員,0.05860756163876249
橄欖油,0.05740196787550403
份量,0.05721836720382158
搭配,0.052995835463723336
濃湯,0.052595894497562065
鴨腿,0.05179330386542323
愉快,0.049597312474453474
烹調,0.044795335395533334
胡麻,0.044573445533128
口感,0.04117492254385814
