term,score
食材,0.14490416802231876
台灣,0.10760358005954386
mume,0.09461083337518969
另外,0.0917632563445791
美味,0.09100062076881116
氣氛,0.09083367792722138
用心,0.08459085021897933
服務員,0.08437986755001761
喜歡,0.08285733451494273
熱情,0.07349098680183738
不是,0.07287742689512636
貼心,0.07249318555251688
推薦,0.07111929344038226
知道,0.0708178165823107
亞洲,0.07052995605368198
出色,0.06916907705357071
美食,0.06869249637242246
用餐,0.0685950730386695
每道菜,0.06602085837994559
搭配,0.06537407496952288
海鮮,0.06487202213162833
其他,0.06357552591881027
蛋糕,0.06339455490053364
做成,0.06267279893590198
方式,0.0617475629262005
廚師,0.06086589892374788
調酒,0.058219877029682655
特別,0.05815731774831805
奇妙,0.05736342049657862
味蕾,0.05678112651105618
