term,score
咖啡,0.39633376213653226
冰淇淋,0.3787430558407175
薯條,0.12198351653131871
美式,0.07857364441453699
點了,0.07412725841867557
甜點,0.06885590608409098
幾乎,0.05917109900923681
亮點,0.05824207650471122
口感,0.05824207650471122
明亮,0.05670732067019162
套餐,0.051180420454341645
大安,0.04804565925664597
而言,0.04641022136510958
內軟,0.04581268303108402
濃郁,0.04079159339630744
舒適,0.04079159339630744
店內,0.03950187410713584
份量,0.03902957214731649
貼心,0.036790243284506294
整體,0.03583102685412179
順口,0.030020657856892577
適合,0.029841966903455933
特別,0.029067090857720954
吐司,0.0036235931488705353
one,0.0009791288314974084
