term,score
入住,0.13403043290762268
早餐,0.1317800201362769
飯店,0.1292644406528298
用餐,0.12060522535836245
沒有,0.11603466931842246
不錯,0.11512534046704045
酒店,0.10671288239321694
房間,0.10423923458061629
舒適,0.08465165732432436
happy,0.08214984063814494
相當,0.0809905242349039
整體,0.08047329394380077
親切,0.07971425564509256
地點,0.07952359501724396
停車場,0.07709230233495129
住宿,0.0767746674178091
一樓,0.07281109268652304
人員,0.07127739371463755
服務人員,0.06928849463232155
方便,0.06737619439157319
慕軒,0.06713994699308518
免費,0.05967111681236972
不同,0.05967111681236972
hour,0.05947212204460374
還有,0.05912518311516283
浴缸,0.0554294564889196
台北,0.054748366060242595
雖然,0.0536548096994333
二樓,0.05066465977386371
