term,score
好喝,0.1956335765420237
舒適,0.13099053565676905
舒服,0.09107844475806014
地方,0.0666278328091583
美味,0.06659970394668849
空間,0.0646710910961106
下次,0.06209219064393946
剛剛,0.06108937428711991
推薦,0.056520653843582194
烘焙,0.05639595972063911
氣氛,0.05618390335182709
不會,0.05495543941392228
醫院,0.05483516356686194
附近,0.05395606107540833
乾淨,0.05107949513894132
一下,0.051026259581852786
香氣,0.05028579575702295
辛亥,0.04872499960324579
位置,0.04445333913832364
巧克力,0.0441756317934068
甜點,0.04226022223053087
限時,0.04171193348563104
清爽,0.04113243526638946
順口,0.04058989543640637
低消,0.03078460108023531
咖啡,0.029195708004149168
