term,score
肉桂,0.19698312993889378
蛋糕,0.16013993315971464
客人,0.12361417102774692
不會,0.11846546715906404
咖啡,0.11121514352484947
平日,0.10470638868985876
焦糖,0.09154241581503411
下次,0.08290067223905984
200,0.07812831880817975
搭配,0.07214690252808083
沒有,0.07194987526693092
土耳其,0.07004422055264224
口感,0.06688602704871274
很多,0.06667474659364526
內用,0.06508837929681673
吐司,0.06498236158679384
低消,0.0576384384234848
還有,0.057476161896002936
外帶,0.05541583077528271
經過,0.05363981295320483
再訪,0.052170009617538496
另外,0.05028152422443043
蘋果,0.05028152422443043
完全,0.04882421960438944
檸檬,0.047617581180651763
不是,0.04698988807683916
喜歡,0.043127889421193374
一人,0.04277321021726763
一點,0.04230723795448789
用餐,0.041989180494358735
