term,score
可頌,0.1247524969604275
早餐,0.11439183428994065
不錯,0.10249389715157774
吐司,0.10173146032748118
月亮,0.09104741691801105
午餐,0.08757400054290543
法式,0.08222962324901824
整體,0.07995897646619562
口感,0.07770205726982256
甜甜,0.07694472536023739
大利,0.07591031516855787
外帶,0.07367558095169037
朋友,0.0727288456537668
不是,0.06622628925123748
濃郁,0.06614025646685062
一次,0.0642930615542332
可惜,0.06310124924263641
特別,0.06144784734472089
紅豆,0.0612551722571134
驚艷,0.06016573449437125
焦糖,0.058088940509206446
不過,0.057176438615072836
建議,0.05675953225975162
香氣,0.05554915463870705
值得,0.0531333573593107
層次,0.052098479973160514
部分,0.051499028114544085
不然,0.05119423019391145
喜歡,0.05033094862684494
店內,0.05029662637711476
