term,score
疙瘩,0.13037718142745114
口感,0.12104848608872579
起司,0.1201013528433686
提拉,0.10868852545394357
搭配,0.10767220634512539
吐司,0.10213388074446958
不錯,0.09572132542791079
自己,0.09476519805932704
整體,0.09334023301430937
奶油,0.08965834904837143
牛頰,0.08352366487355946
甜點,0.08301913954244564
蓮花餅,0.08050777617696407
沒有,0.07887062443394982
特別,0.07835222965551922
香氣,0.07223509142902577
一口,0.06676241788965911
芝麻,0.06640209502842262
起來,0.0655424849822846
清爽,0.062174414184756686
章魚,0.059982469361637175
期待,0.059125107546826934
絲綢,0.058388817970916905
還不錯,0.05665912805664172
朋友,0.05309458127732669
炸蝦,0.05141236932343474
鈴薯,0.04927501084771996
層次,0.048502632712420446
另外,0.04848685674996922
不是,0.048057944658451854
