term,score
聚餐,0.12094838784084475
口感,0.1015489983811137
推薦,0.09579931134629725
氣氛,0.09259432396530258
很棒,0.08493656844273367
拍照,0.08188492641349651
章魚,0.07857795146690777
風味,0.0747093589330257
特別,0.07369710343214457
調酒,0.07286769246449257
十足,0.06944211691302139
有趣,0.06822546006923141
服務生,0.06278698427069344
貼機,0.059899618387030625
氛圍,0.05917686808528995
每道,0.054296903505176325
不會,0.04777904694004715
只有,0.04667269465524598
酥脆,0.04317427620216381
黑白,0.03908730652071028
用心,0.025099529162571965
一次,0.020636615013073366
100,0.012104353777155324
甜點,0.007363056730147359
體驗,0.0032238985707478685
適合,0.0006916541278475796
