term,score
咖啡,0.25836263372086044
座位,0.13607107855273773
空間,0.10568613231697338
親切,0.09555571481356995
豆子,0.08203239019887221
舒服,0.08054060442945796
客人,0.07811505813252785
南京,0.07548363207013582
不錯,0.07434524450732158
店家,0.07172946643313968
好喝,0.06981702062060884
不同,0.06891615244063756
雖然,0.06866444177810509
舒適,0.06819482822414115
插座,0.06655725550419503
乳酪,0.0653131903995875
整體,0.06446514487811271
氣泡,0.06108729992565458
明亮,0.060402393097999815
顧客,0.05584015244392215
乾淨,0.055535056457002185
蛋糕,0.055443450625313404
悠閒,0.053806772131095346
卡龍,0.05288222953579625
自己,0.05250693015033647
咖啡豆,0.05249329084740214
點了,0.05144347678914377
座落在,0.05104036662497072
風味,0.050888904524939486
推薦,0.05038025207075543
