term,score
小菜,0.1776687263510142
烤肉,0.17422158820266312
石鍋,0.16343479482235895
銅盤,0.16080214127236966
泡菜,0.14569371356200733
cp,0.12000842051689256
阿姨,0.1169776886133217
豬肉,0.10676749903615365
還是,0.10482563447602596
不錯,0.10296535694871464
親切,0.09323333228107399
起來,0.08890968950126274
喜歡,0.08696783076127677
韓式,0.0820617706706838
湯汁,0.07271955284021499
份量,0.07034120239934238
店家,0.06968869535348296
雙人,0.0592830127354393
菜單,0.05839476741483579
下次,0.05586854949010119
本身,0.04963401805665047
只有,0.049584600666248715
