term,score
健康,0.16695697934269782
三明治,0.1470492382777148
身體,0.12389549656299294
不錯,0.11725395727006967
點了,0.09871813413903788
蔬菜,0.09196305907789457
食材,0.0876638689252455
地中海,0.08683681433827646
照燒,0.07660656712092115
希望,0.07604447169242695
調味,0.07350990185430809
口感,0.07040703587573623
沙拉,0.06849817673594406
漢堡,0.06817732253902789
麩質,0.06739423546273726
推薦,0.06343619233770603
天貝飯,0.06340914184608504
份量,0.06340914184608504
新鮮,0.05929686315636519
整體,0.05610102568624875
一下,0.054143260339915955
用餐,0.04649748847504858
