term,score
牛排,0.20994580500910917
威靈頓,0.1695851412093537
驚艷,0.12380797456326734
wine,0.11664147011267006
蛋糕,0.11662912883196745
搭配,0.11414484951150625
法式,0.09926175860188297
甜點,0.09788089078370642
整體,0.09403274484364785
服務人員,0.09232190614798012
今天,0.08917865484108774
蕎麥,0.08733145498056695
還是,0.08274195897488448
一道,0.08121494151708347
用餐,0.08112389303775411
第一次,0.07917578451395468
特別,0.07844629898818103
推薦,0.07516317605845327
不錯,0.07264292820932614
親切,0.07195929695329426
牛肉,0.07195929695329426
感受,0.06942622853419853
值得,0.06646046484827815
米其林,0.06495298901799687
日式,0.06010890799616152
食材,0.05183175097183808
