term,score
多汁,0.10453887105354945
份量,0.10252164204604833
乾淨,0.10156637283023515
酥脆,0.09106796558790056
推薦,0.09020744519000592
牛肉,0.08765315846762252
可惜,0.08699087797604878
薯條,0.08678863367896057
一口,0.08384268241195882
整體,0.08292895947284226
用心,0.07732263625153452
值得,0.07415102258398887
不會,0.07291320359253575
暫停,0.07257377686187202
沒有,0.07150210225164286
美味,0.07026948340128823
自己,0.0677003635254109
用餐,0.06737616159511109
不是,0.06716100595481232
加上,0.06700596557527633
經典,0.06464844144707141
不錯,0.06384147204543658
牛肉排,0.06295553569223444
雞塊,0.06086889296523712
選擇,0.05968905016574715
口感,0.05917898647146451
肉排,0.059109757791541886
剛好,0.05896706004939074
提供,0.05708318937156267
店員,0.05598221352424401
