term,score
蘆筍,0.10924154265514875
搭配,0.10674026350091993
氣氛,0.1016922536873429
pico,0.09265323657872031
超級,0.08679832333093195
口感,0.08041834533751915
值得,0.069988148983253
起來,0.06966487576538062
巧克力,0.0679750323957357
調味,0.06615804431881997
尤其,0.06430539555359707
必點,0.05882510631577029
推薦,0.058603185937428165
朋友,0.05852942033742961
蛋糕,0.05709953580034087
店內,0.05682615149312893
好喝,0.05577872328731193
喜歡,0.055759511186613084
用餐,0.055327399557281026
牛膝,0.05387139102246412
甜點,0.0532323758769732
沒有,0.05301272614579113
適合,0.05155697625423075
完全,0.05110149532353113
前菜,0.05021746860827049
一道,0.04965739925109595
只是,0.04910535337330314
濃郁,0.04766638427997446
特色,0.047191428500505395
薯條,0.046358716348453746
