term,score
調酒,0.1870677290659251
好喝,0.16776118602873133
很多,0.125969339007554
推薦,0.11507355422144902
還有,0.0973867933574354
店員,0.0965528061595121
朋友,0.09207077847181956
韓式,0.09096237861185649
不錯,0.08860696264809519
起司,0.08462536857690883
氛圍,0.07815397359044934
台式,0.07711011832809732
很棒,0.07656712627231474
喜好,0.0751547007532263
免費,0.07480471422209689
店家,0.07380631192497503
shot,0.07286346479260263
活動,0.06975494767128196
選擇,0.06733610950612282
喜歡,0.06681477470247735
喝酒,0.0664857665203694
牛奶糖,0.064448042408452
氣氛,0.05692994772949003
餐酒館,0.05335969967466213
關東,0.05165869636866924
創意,0.04841049254000709
海鹽,0.0444882567981279
經典,0.04199838708517391
三重奏,0.03770868292599694
