term,score
牛肚,0.19834383594387456
義大利麵,0.11073869594416627
風味,0.09343302188002231
佛羅倫斯燉,0.09082871244602664
機會,0.09067986909543459
適合,0.08748812259920995
氣氛,0.07332431587158446
下次,0.07258641784696448
特別,0.06993166519320526
口感,0.06807172591438876
朋友,0.06632462023624693
點了,0.06102633384208405
回訪,0.0603638079919749
隔壁,0.05987110005877662
一道,0.05918241191403448
煙花,0.05741532966700197
甜點,0.05715887417928878
酥脆,0.05655477736862322
整體,0.056442503706213856
辣醬,0.05633349511210063
青醬,0.05633349511210063
香腸,0.05616070991054728
推薦,0.05578288806367786
招牌,0.055730502564942594
軟嫩,0.054058661021314236
另外,0.05074018586873609
份量,0.05034270167742533
番茄,0.046429080809042095
超級,0.04621270777453135
卡諾里,0.04547758483197094
