term,score
冰淇淋,0.19016913397108867
雞肉,0.17995510851795504
小美,0.15109877428762974
飲料,0.14866364172620983
大利,0.13622289069064306
還有,0.1217784136883498
奶油,0.11983353851339147
cp,0.11861018828863173
蛤蜊,0.11089844968640945
內用,0.1041398146324886
實惠,0.089934440258753
蒜片,0.08790503772577624
辣味,0.08641604103782405
濃湯,0.08246208955919043
很快,0.08167124325402249
速度,0.08141980478765652
份量,0.0812285839238095
店內,0.08051546058239412
香蒜,0.07989764846546259
享用,0.07531143243173172
蝦子,0.07138828784673817
免費,0.06637624432460378
第一次,0.055722800128855256
