term,score
漢堡,0.25160741955611104
美式,0.189522082846203
氣氛,0.13188421298375455
份量,0.10450909890014641
薯條,0.09989231135099659
大利,0.0993591236284348
起來,0.08895691537859637
炸雞,0.08731561430652651
一般,0.08636666940941323
大家,0.08549235586718654
不錯,0.08381701487721299
下次,0.08030131501804674
很棒,0.07692932115861253
晚上,0.07676256140039067
多汁,0.07421037352748756
聚餐,0.0728825466028619
牛肉,0.07196034496179382
現金,0.07096164652476335
很多,0.0702935755999899
沒有,0.06716198967473679
搭配,0.06627263875019643
用餐,0.06105740974777749
雖然,0.05751445660848247
店內,0.05560525498192146
