term,score
態度,0.2153951484238067
我個,0.19650350521394058
一開始,0.19650350521394058
驚艷,0.16753347095240329
特別,0.11277521087585254
870,0.1009639376058564
推薦,0.09912529121344882
主餐,0.09771530298809655
擁擠,0.09289665199849562
雖然,0.09012939613883257
時間,0.08895553108179927
台式,0.07982828910160772
服務人員,0.07447425707876355
氣氛,0.07000514308591547
不會,0.06904197371308943
印象,0.06889824919088677
深刻,0.06889824919088677
主食,0.060226053204494985
體驗,0.057820594075204734
甜點,0.057610869666661
親切,0.057138191755065945
座位,0.040427691399918655
前菜,0.039661467093003167
氛圍,0.03625679641818315
用餐,0.00904222894427123
整體,0.007056961615157578
