term,score
預約,0.11840105460214378
很棒,0.1007696043838756
朋友,0.08656144916370066
西餐,0.08605551175735875
松露,0.08284656648406141
牛排,0.07873476936827037
一道,0.07575095951157856
無菜,0.07539636265104216
牛肉,0.07291371763332843
生意,0.07137776532589563
調味,0.06280992606125915
口感,0.06247440839574189
套餐,0.062036748359026214
田螺,0.06165680820886825
份量,0.06108380360702632
搭配,0.06012883435961403
位子,0.05976791371339364
200,0.058724785175537905
豬腳,0.0580774636194816
還蠻,0.05800763770844977
海苔,0.05568037789635648
香氣,0.054978626837014315
小法國,0.0518222575039273
脆皮,0.049523693346881725
蛋糕,0.04508163652028499
每人,0.04351147794855538
魚子,0.042954915352444625
麻油,0.0402261451483054
法式,0.03778819020828844
溫馨,0.03756208492189238
