term,score
咖啡,0.17840184518506286
大利,0.1388784033889356
二樓,0.08610386942923438
布丁,0.08508923173652486
伯爵,0.08178982573760815
喜歡,0.08100631021665149
提拉,0.08069767156501634
朋友,0.07943243776411431
座位,0.07776335747937461
好喝,0.07315875367138971
工作,0.06739746490475892
不錯,0.06438211806662024
深夜,0.0620405818594065
墨魚,0.05984775478199063
推薦,0.057452574192587855
適合,0.054387888446747745
特調,0.054172183702602544
甜點,0.052688692556289385
謝謝,0.05224984402803392
氛圍,0.05161008426703081
很多,0.05108980382256706
空間,0.0510399584051189
飲料,0.05101725385960814
試試,0.0508984703430268
吧台,0.04948114411565159
舒服,0.04770945259706466
一樓,0.04765037836917978
值得,0.0473916805258171
place,0.0472939326395821
焦糖,0.04614710187022451
