term,score
炸雞,0.23260422259483865
薯條,0.18217096836081015
101,0.15631560944387757
漢堡,0.13652102588590628
多汁,0.11930658796952341
還是,0.11306204076025994
點餐,0.11239326357620713
美食街,0.11105722740485098
很多,0.1100728344156846
不會,0.10997364696158868
辣味,0.10751964556177321
喜歡,0.10625775941907187
布里,0.10208334469144253
肯德基,0.09732389606752487
排隊,0.09647188799853308
普通,0.09516250923509013
整體,0.09341528150030691
不錯,0.08198435602900646
其他,0.07651843921205606
起來,0.0747002167738895
朋友,0.07465938227968087
雖然,0.06948463509929452
