term,score
只有,0.17866811237969069
時間,0.1662799345843658
一下,0.156167956619807
三明治,0.1513556974314687
蛋餅,0.14080678238876862
分鐘,0.0973726115690776
時候,0.09687488973126872
15,0.09421920575110959
總匯,0.08603855569090685
好好,0.08279689274800062
內用,0.07469065378569052
漢堡,0.05296793752527469
中矩,0.04379555473137986
中規,0.04379555473137986
份量,0.03610055212479349
店內,0.023733883253886742
用餐,0.022902319421011126
咖喱飯,0.01714948833806816
中午,0.016868533824966468
早餐,0.013594799525647863
點了,0.010499218968849464
用心,0.009292850646638665
