term,score
上桌,0.16992505611882658
香料,0.13543614031115817
發現,0.11413409180627279
份量,0.10575389800479314
漢堡,0.0990539031363181
這是,0.09323546501650215
南瓜,0.08739066129792465
值得,0.07322908550867742
比例,0.07166413660143357
服務生,0.06811119531320886
推薦,0.06624697355430652
印度,0.05811345676702523
蛋糕,0.05193756148234429
布朗,0.049401635822669106
時候,0.049401635822669106
特別,0.049401635822669106
好喝,0.049032958293543
餐酒館,0.04597959437583504
女巫,0.04321791675320688
點的,0.04321791675320688
椰香,0.04049254764327496
美味,0.03608177107147753
這個,0.029203212884880578
知道,0.024523561121277307
影片,0.019641107551569885
調味,0.017273286414208756
甜點,0.016934083109184206
拼盤,0.012666533932529284
第一次,0.011579753024366181
看到,0.009801442278980187
