term,score
朋友,0.10496631328480269
素食,0.1030811563613124
很棒,0.09256606434805575
氣氛,0.09049670757726756
超級,0.08961996314585817
蔬食,0.08663295195242532
表演,0.08373290306528028
義大利麵,0.08282630955803906
起司,0.07618655684326645
親切,0.06645888393493353
番茄,0.06261126216646429
10,0.061964879534039875
大家,0.054516911216710706
麻雞,0.052999388835659335
用餐,0.05196036614143533
每個,0.05087549082039161
選擇,0.046715160885030735
薯條,0.04646071512358823
喜歡,0.046184465422285395
服務人員,0.04385461391480602
點了,0.04311518919226872
裡面,0.04147487770478274
今天,0.03993045150294138
時間,0.039524562546812
濃湯,0.03713048931935824
口感,0.03485039962976245
這次,0.033145799142165026
松露,0.03294331554797606
吃素,0.030742674814660302
整體,0.030169305424898287
