term,score
搭配,0.10169277686093642
用餐,0.0933605060236036
整體,0.08656561512514326
米其林,0.08650179472558416
2025,0.0772028673008844
一道,0.07384528409236799
restaurant,0.0738051474235984
酒精,0.06951309261215921
體驗,0.06760885413614583
再訪,0.06571576315916733
主廚,0.06240066278064047
食材,0.062257699360388975
pairing,0.06152032396314004
創意,0.06016375838874634
朋友,0.05790143241901339
完美,0.05780850987237925
空間,0.055862084638011594
值得,0.054162087401057935
美味,0.05222155767735104
介紹,0.05215845209386293
每季,0.05168943280961448
桌邊,0.049373073584789616
享用,0.04926270120518131
用心,0.04895660304673153
wine,0.04821665569079317
菜單,0.04602303845725571
法式,0.0454657777403346
飲品,0.04521503704353742
alain,0.044405115603948074
呈現,0.0442570542626748
