term,score
用餐,0.11767664514295675
疙瘩,0.11132613195417083
沙拉,0.11042263598464831
份量,0.1094766074101178
義大利麵,0.10910027417010493
胡桃,0.09215874378092463
整體,0.08872804048866612
羊肉,0.08774604420287606
一樣,0.08518464490947761
披薩,0.08426210476476172
pizza,0.08354836941878999
101,0.07996163282527882
美味,0.07806088108059946
舒適,0.07462890485094562
牛排,0.07141992301748526
搭配,0.06602625809074054
調味,0.06565772419078544
農夫,0.06550533936465397
適合,0.06047162128852367
餅皮,0.05960506765064756
規中矩,0.05893106892134868
超級,0.057290527070044936
一定,0.05458962615207617
朋友,0.05257734148704046
剛好,0.052190170173444704
甜點,0.05218877482104585
香氣,0.05181071777955483
必點,0.05181071777955483
風味,0.04963604793967054
喜歡,0.0491960962814591
