term,score
法式,0.11113913243917817
擺盤,0.09278491421820971
用餐,0.08372397353296587
一道,0.08027293600160228
主廚,0.07495023225877509
超級,0.07492292357216429
米其林,0.07187681793562155
值得,0.06820428830805673
完美,0.06473946513497829
一次,0.06348091842194838
每道菜,0.05903521911511986
這麼,0.05893630390255933
期待,0.057607444435977546
氛圍,0.05756125248675904
整體,0.05646477471848179
朋友,0.049928625909553236
午餐,0.04973830987552304
聚餐,0.049027104725512693
這季,0.048750126282101874
貼心,0.04635849255249954
滿足,0.0441241825365903
其實,0.04289530696700819
體驗,0.04132639074936944
驚艷,0.04054633464587783
像是,0.03266285085515167
食材,0.031654838555696924
一場,0.030627501396934667
sens,0.030027891171366235
出色,0.027757920845300203
氣氛,0.02750396965077502
