term,score
很棒,0.17622664249543513
不錯,0.1624765233206465
調酒,0.14398101271116032
歌手,0.13604280483937778
氣氛,0.13072211588189994
地方,0.1299142751691169
10,0.10326105763870118
800,0.09750596694359552
音樂,0.0970547430395099
表演,0.09658346277728366
整體,0.09605334457418786
好喝,0.09437143821439019
低消,0.09174881945548606
親切,0.09170435770105051
蘑菇,0.08286036717673206
空間,0.07515708588097283
適合,0.07198082499857497
氛圍,0.06840344767307704
拼盤,0.06522736823403327
音樂餐,0.06415363157626064
感受,0.06279915845537334
尤其,0.057074232125138354
