term,score
印度,0.18455918976748314
香料,0.15624206044348074
喜歡,0.1433881471933191
46,0.10659047231191537
不錯,0.10061877408567826
氛圍,0.09749075121032005
推薦,0.0974132384316101
氣氛,0.0949530918812975
羊肉,0.09151917875664717
服務生,0.09069020965381205
咖喱,0.09053424040993353
101,0.08525867454149287
服務人員,0.0810580251395535
搭配,0.0768923951744674
點了,0.07683720291618427
咖哩,0.07646341941903997
用餐,0.07418893213429024
看到,0.07291900764996166
風味,0.07062812808603991
夜景,0.06857002288203999
位置,0.06668506312636106
好喝,0.05952508156439579
很棒,0.056089070436774094
享受,0.054839191864652026
提供,0.05440120168593235
招待,0.05138365254182439
舒適,0.0502957483689736
低消,0.04873069368331201
建議,0.04829270350459234
