term,score
沙拉,0.28522406410811957
份量,0.17616411984572322
選擇,0.11679885469668386
清爽,0.09772230579472604
內用,0.09179237769082814
這麼,0.08493646665664611
一間,0.0833499085320831
飲料,0.08327639213198146
新鮮,0.07856531863435674
推薦,0.07672894595706517
四種,0.07257354615059543
三種,0.07206666342523482
很棒,0.07074716700429017
節瓜,0.06920022315648613
外帶,0.06879811060231716
剛好,0.0641010372257726
喜歡,0.0628007953787591
不會,0.06050425338509517
任何,0.05618996707093274
今天,0.0552031844094896
適合,0.05504725211239349
下次,0.048521034101821466
飽足感,0.045949327514041356
雖然,0.045561055129620845
整體,0.0429969030061958
義大利麵,0.039572029777142005
優格,0.03470869394691145
嘴豆,0.033794233246249195
