term,score
完全,0.17138831647496694
知道,0.12251829483164699
二樓,0.10305211431681423
骨頭,0.10075932211967698
不要,0.08852951660936063
問題,0.08852951660936063
還要,0.0784017928958634
不會,0.07706219045923048
用餐,0.07567541914776552
調味,0.07219206964022108
烤羊,0.06317522624541148
一道,0.06165717495686126
蘋果,0.061518793739965674
時間,0.050181744673969804
廚師,0.046816938569670036
整體,0.04666927532132914
巷子,0.0431472260584036
披薩,0.043054343740222926
明顯,0.042796923678051116
值得,0.042201978956503225
服務費,0.04035624423616262
奶茶,0.03796411051755835
羊腿,0.03777143554089084
口袋,0.03240109568092487
一般,0.02990173751861485
10,0.028081951122865267
體驗,0.027290875533008255
薄餅,0.023752442420920467
點餐,0.022010116727096282
牛肉,0.020914243399968144
