term,score
好喝,0.19142133021729757
威士忌,0.12118456592439511
特色,0.10260207855458958
來訪,0.10018930121325423
爆米花,0.09579318650586666
不同,0.09562456000811526
梅酒,0.09169728949177416
不錯,0.09066868839213812
氣氛,0.08531464278640885
推薦,0.08514477796443201
招待,0.0819902913328912
小酌,0.07727950161082164
店員,0.07711407330131222
地方,0.07114096719158261
燈光,0.07003840193054997
茶酒,0.0692879854256586
親切,0.06631346807076632
茶梅,0.06497673168710133
300,0.058389225798017294
音梅,0.05640468603971753
鐵觀,0.05640468603971753
店內,0.054652029372121165
shot,0.054421005667140546
順口,0.05381892269116158
酒吧,0.04513655148102558
奶酒,0.0432656688529726
觀音,0.038848853986776004
