term,score
101,0.09513359107323535
更好,0.09479873257948229
風味,0.08074518175987433
告知,0.07796465478243458
用餐,0.07640070008383443
選擇,0.07063195751519197
安排,0.06121613380720531
肋排,0.060079300830411894
份量,0.058849393595598404
好像,0.05357555254682874
巨大,0.053098474816815615
油花,0.04597041466027026
當天,0.044155552808620005
服務人員,0.04391961830179707
熟度,0.041819237696453
點餐,0.03708491694254976
390,0.03671300743174021
47,0.03313769903393263
座位,0.03298309146390919
招待,0.03293879078666637
已經,0.030848295747141298
口感,0.03009278894896121
吃過,0.023870372230950333
訂位,0.023858406153543905
不同,0.017497551440404505
水資,0.015458155381213274
一口,0.013186757282878128
清爽,0.012815855771177678
肉質,0.012558512507356252
生日蛋糕,0.010901881238623106
