term,score
喜歡,0.107346256025934
推薦,0.08847859642296863
美味,0.08112058667333613
肋眼,0.07839042695459644
建議,0.07360701764201646
蟹肉,0.07130697216791264
前菜,0.07121259027036
入口,0.06305168086553503
乾式,0.060068252779760065
熟成,0.05925295041706373
位置,0.05772308986046941
憤怒,0.0553853270863464
整體,0.05401970921925428
慕斯,0.05019740742414417
不會,0.048285944104566304
餐前,0.04478814086312723
直接,0.043231574031973544
再訪,0.04195694998661937
豐富,0.0407784789753906
松露,0.03866004582391358
人覺,0.0378892906057658
剛好,0.03635557054012424
另外,0.03631182305393735
道菜,0.03518205190238909
知道,0.034428978830650526
中卷,0.03353034508671496
單點,0.03099346312456886
介紹,0.030831062706465597
香氣,0.02909767936095875
南山,0.02744789318177917
