term,score
pizza,0.15693507013637623
披薩,0.12198390784069307
番茄,0.1081295790328423
建議,0.1036265669999578
瑪格麗特,0.10328907504819207
熱情,0.09662784943102389
芝麻,0.08934979926454317
特別,0.08812799265170557
口感,0.08241661875112458
開心果,0.08235766503020886
冰淇淋,0.0808279127249768
比薩,0.0787188660256745
餅皮,0.07437146289218748
店內,0.07316351221806475
空間,0.07316351221806475
濃郁,0.07275546988383319
火腿,0.07246131189876123
外帶,0.07100203574790151
不會,0.0658056828261787
內用,0.0649117328007005
一定,0.06443940713519442
排隊,0.060902709546940874
可惜,0.060162865796634206
披薩店,0.06009312479140606
extra,0.05989767344797216
起司,0.05641696003624698
自己,0.05358880844099231
現金,0.052928341562334356
整體,0.04699353096009986
經典,0.04603291929648641
