term,score
學生,0.1664148661579261
實習,0.135064381456203
很棒,0.12879937199296956
不錯,0.11210124170420216
用餐,0.1036324376550131
不是,0.09040648797441235
很多,0.08944134814296695
空間,0.08702698537133766
值得,0.08603015913057178
份量,0.08344783756004195
服務生,0.08019628938637634
開平餐,0.07723904210387465
地方,0.07431765157970026
鼓勵,0.07278564635803043
不會,0.06980514884361838
特別,0.0694478166223629
點餐,0.06621816543519857
平價,0.0646314091036206
裡面,0.0643833426801309
表現,0.058823393484334546
雖然,0.05875458844856784
實惠,0.05755592286117549
