term,score
時間,0.1699267314623146
午餐,0.11423720031689401
只有,0.09219119554158925
推薦,0.08995808217769072
點了,0.08699643238116132
飲料,0.07615598401932064
告知,0.07485834349319695
咖啡,0.07023179326602147
培根,0.06906943136669164
一人,0.06293912004244442
需要,0.0615151907070612
紅茶,0.06057445520731417
附近,0.06030728053927439
大直,0.058553170408983356
美食,0.051389537633451124
奶油,0.050111323579207646
果汁,0.0491822766201462
建議,0.0486636499737653
薯塊,0.04845457604773855
今天,0.04830840024543459
無限續,0.048115930292478376
一杯,0.04759263828668585
樂多主廚,0.04635405605557337
無糖,0.045364170992045344
美式,0.04504860995842902
那種,0.039283154466196485
招牌,0.03854860822126065
早餐,0.03815337970988186
水果,0.03400709705343185
份量,0.030775547027010464
