term,score
披薩,0.27556776458675597
飲料,0.16694076159270796
冰淇淋,0.15581465253276228
薯條,0.150318898063767
玉米,0.12274046832400823
濃湯,0.1100967700337292
pizza,0.08660549300870858
不會,0.0813418265222846
選擇,0.07845729193904454
明果,0.07656007975806409
朋友,0.07293289226107857
多種,0.07139365834169469
提供,0.06964267307425563
用餐,0.06895773991192115
口感,0.06684039410401511
客人,0.054820984929960716
照燒,0.05284358787188098
cp,0.052118142523653155
巧克力,0.051305340036910764
棉花,0.051305340036910764
喜歡,0.05056814921269189
這次,0.04036876101685455
