term,score
美味,0.11350581476778689
主廚,0.09246984940881112
用心,0.09076680440316831
推薦,0.08438796187299533
大家,0.08411565297295376
舒服,0.08080091739777638
沙拉,0.07338596286249556
驚艷,0.07210905672874555
調酒,0.06669014169511868
準備,0.06636666792804737
甜點,0.06428077361053859
不會,0.061710641625440946
預約,0.058409627371493536
無菜,0.056241440635031455
只能,0.05616646001351879
謝謝,0.056067982119337445
訂位,0.054107786682548564
蛋糕,0.051203851887520045
前菜,0.050849033712917775
一杯,0.04590971276818045
慶生,0.04419646689319912
