term,score
thai,0.1589507039993184
泰式,0.153287788054027
用餐,0.12370112657191526
舒適,0.12358940087194631
泰國,0.11924548327239833
蝦餅,0.09246800035571431
美味,0.08861733065673832
氣氛,0.08733640532645495
寬敞,0.08189598326864395
不會,0.08062646848971113
剛好,0.07858183092389458
米其林,0.07359961071065822
咖喱,0.07071441539809434
海鮮,0.06830456548183761
甜點,0.06806545134099182
泰奶,0.06781482433932737
還有,0.06744185047801365
金錢,0.06661840902058755
服務人員,0.0649450865272714
沙拉,0.06365312634280602
親切,0.06202000049880001
特別,0.060665150555266265
每道菜,0.05587571253065768
整體,0.05537571428292391
喜歡,0.052817924719997716
豆糕,0.04873360348107013
期待,0.04872918591573844
必點,0.048163269180098445
一次,0.04622713259999838
只有,0.045231302722991425
