term,score
衣服,0.19057479114266404
客人,0.1564131817549725
用餐,0.13840837375561119
時間,0.13686153403560095
洗不掉,0.11434487468559842
掉色,0.11434487468559842
飲品,0.09775823859685781
我覺,0.09775823859685781
單價,0.09775823859685781
加上,0.07820659087748626
不過,0.07820659087748626
理想,0.07820659087748626
聊天,0.07820659087748626
重點,0.07622991645706562
結果,0.07622991645706562
很重,0.07622991645706562
下去,0.07622991645706562
怎麼,0.07622991645706562
特地,0.07622991645706562
居然,0.07622991645706562
店家,0.06885258184524072
沒有,0.06814937178011099
油耗,0.06814937178011099
假日,0.05865494315811468
舒服,0.05865494315811468
訂位,0.05865494315811468
整體,0.05865494315811468
低消,0.05865494315811468
平日,0.05865494315811468
生意,0.05865494315811468
