term,score
午餐,0.1334373249068673
咖啡,0.12478400699746857
空間,0.11151789505264922
訂位,0.10846546827589287
早餐,0.10705302735434079
服務人員,0.10249957940867262
食材,0.10235147098782525
還是,0.10091303241505621
一定,0.1001329052091314
偏高,0.0974339223888351
親切,0.09423822491781685
新鮮,0.08792090255774712
不會,0.08713796826981327
調味,0.08484399043408658
寵物,0.08247824067241766
適合,0.0813957613466972
平日,0.08024627870944717
沙拉,0.07920880830665565
美味,0.07283487485896908
份量,0.07225911357545284
友善,0.07081661518799606
健康,0.062377498066240385
擺盤,0.059322352518877866
好喝,0.05908102255331745
喜歡,0.05393414778400397
超級,0.053821059293148246
建議,0.05200772850498448
一起,0.05194500773519976
選擇,0.05106107126242082
整體,0.04667423233889623
