term,score
知道,0.13699073354483166
直接,0.12908838774087925
接受,0.11779800796526851
問題,0.08631108057716547
不會,0.08214592752142325
告知,0.08156260045463426
用餐,0.08080082521489607
超級,0.07143992512135644
時間,0.061391747128199746
服務人員,0.060122947589648965
雖然,0.05692825405895587
是否,0.055474288705337625
一直,0.05166083432098489
店內,0.04690622861096907
低消,0.04226828419937927
大家,0.03730032381040802
提醒,0.036617810599757945
套餐,0.017540678518569996
冷氣,0.015076523945604652
這個,0.012369849792127283
需要,0.004637674933294339
