term,score
薯條,0.13408729655145155
氣氛,0.09991510542179861
這次,0.09971349165213533
酒吧,0.09409736387844728
晚上,0.08456800135537275
風味,0.0832817024139955
值得,0.06923882389683028
口感,0.06830401593013541
隔膜,0.06548378341790893
建議,0.06483187741529901
清爽,0.061167467801918396
服務生,0.059060591101280466
份量,0.058755835284275436
松露,0.05855700504747697
特色,0.05762924032829368
時段,0.05699005328437579
空間,0.056835182584829405
招待,0.05365511648809916
shot,0.05285209696880033
生意,0.05167841822668311
用餐,0.047725603078136516
牛小排,0.04699959436564517
裝潢,0.04647861384812803
舒服,0.04336578877153791
義大利麵,0.0415069178791928
基底,0.040438158389865746
調酒,0.036954355007369905
一直,0.03493528262998603
第二杯,0.03447526538991226
