term,score
咖哩,0.13948886442301694
搭配,0.09997378470530528
沙拉,0.09607943601636793
香料,0.08993966000861642
蔬菜,0.08345464156005897
蛋糕,0.07946007443818079
美味,0.07884566296426239
30,0.07813873944590058
空間,0.07753280866455961
小店,0.07398993739410514
咖啡,0.07183078028471508
午餐,0.07129680189825904
食材,0.06965075088117699
喜歡,0.06827835768722466
不大,0.06505761308245363
起司,0.06279828186146508
巷弄,0.06236306587242715
咖喱,0.06224922337390971
推薦,0.061897045908946555
朋友,0.059556465650389384
用心,0.05890878017525062
很棒,0.058563884379124964
飲料,0.05853669918990763
店內,0.05838143486745481
用餐,0.05715828543389395
店家,0.05701270279782204
shed,0.056560483869176656
不會,0.052110967298915484
聊天,0.04678044698055557
沒有,0.04605215747277328
