term,score
不是,0.1140562576247214
大利,0.10270041246759112
檸檬酒,0.10267596228588802
還有,0.09918055427517451
火腿,0.0849701575330124
羊排,0.08313198778627234
適合,0.08087968689629835
特別,0.07520817757404576
開瓶費,0.07320746298938154
店內,0.06929919666732846
提拉,0.06565857716808676
一點,0.0639636832036763
剛好,0.06352664135168971
美味,0.06265010409696195
沙拉,0.06154890802545365
整體,0.06137063065230289
調味,0.06129869007964825
本身,0.060303386631090215
用餐,0.060027757188867284
干貝,0.05928039032126181
只有,0.058081383845340256
海鮮,0.05696983889831046
建議,0.05573290860315351
希望,0.05464849229036395
吧台,0.054612427237473705
一道,0.05381174352245297
不過,0.05284333754685134
當日,0.05264980261285713
花果,0.05128633531679282
起來,0.04786287879078065
