term,score
一道,0.11928311486558346
食材,0.10487794452434115
主廚,0.09776263101559005
用餐,0.09448519951169557
ukai,0.09370313432819921
整體,0.09366795251055408
感受,0.0930028869750077
口感,0.0915855739065002
甜點,0.09137044183072196
套餐,0.09041031100784681
完美,0.08753020683581639
鐵板燒,0.0856232953014765
推薦,0.07967495679951643
新鮮,0.07873389816335347
驚艷,0.07422144663491524
包廂,0.07349039764107196
美味,0.06635605658866395
一次,0.06558135687991765
特色,0.06484588205273445
部分,0.0639164201504458
座位,0.06250303651688555
蟹肉,0.060190284768442896
只有,0.05924136332673383
下次,0.05876610719589154
the,0.057912626816433416
taipei,0.057912626816433416
值得,0.05376666823640492
特別,0.05082845883020695
景觀,0.050654419185363925
期待,0.04884437492658128
