term,score
甜點,0.14976128210070586
體驗,0.13640070788111078
芋頭,0.10792584596082201
一般,0.10105525158117096
舒芙蕾,0.10031359813067942
擔仔,0.09867052095245603
人覺,0.09739559587976475
冰淇淋,0.09176803237875665
特別,0.08831246836188023
主菜,0.0852912800188387
用餐,0.078246874936996
友人,0.07149936353477179
慶祝,0.07127646034195009
完全,0.06385165394892313
法式,0.0614205718692112
鴨肝醬,0.05772067454574312
龍蝦,0.0566784437247671
拍照,0.054755363803994594
濃湯,0.05364696076751321
態度,0.04231383914434427
一直,0.03999138002870928
原本,0.038824950399528366
配上,0.03601782405029501
油封,0.02893770439225725
整體,0.0284139963003016
清爽,0.025464213959434084
份量,0.02464045630451981
方式,0.020283520930042195
鮑魚,0.020146114767901943
羊排,0.018697573558637576
