term,score
印象,0.13335466389876593
特色,0.10342669828873678
上菜,0.10248713004696822
介紹,0.09712970605170178
每道菜,0.08542056506979293
奶油,0.058067169215232306
搭配,0.05015566501345789
朋友,0.04148501908938353
主餐,0.03913875499707235
吃過,0.03133167373557928
不算,0.023593714081611157
喜歡,0.020031381847634297
創意,0.01693095010337152
黑松,0.01422077432927256
一道,0.011993406549496023
cp,0.009688906246362802
記憶點,0.00918912578090094
聚餐,0.008547427481192301
服務人員,0.007413110016423828
問題,0.005603575550683762
招牌,0.005602843265198387
鴨腿,0.004623550851101554
口感,0.003117160829874732
沙拉,0.0020121764373527765
