term,score
出餐,0.18160780018428976
不錯,0.13304827410660436
偏慢,0.12769988248918332
沙拉,0.12041796998015242
整體,0.09784868564662258
商業,0.09448521828158246
整個,0.09448521828158246
午餐,0.09448521828158246
用餐,0.08448874802891893
一次,0.08141665370708791
一顆,0.08141665370708791
服務生,0.08141665370708791
公司,0.08141665370708791
好喝,0.08141665370708791
還是,0.07951925792537998
符合,0.06688895379892804
不會,0.06688895379892804
想想,0.06384994124459166
慢上餐,0.06384994124459166
提到,0.06384994124459166
前面,0.06384994124459166
有加,0.06384994124459166
不管,0.06384994124459166
濃香拌,0.06384994124459166
熱過,0.06384994124459166
上菜,0.06384994124459166
直接,0.06384994124459166
魚肚,0.06384994124459166
這餐,0.06384994124459166
蠻哈,0.06384994124459166
