term,score
太妃糖,0.12393037696420932
多汁,0.10626758040625325
蛋餅,0.0915808367693055
滿足,0.08140762510425355
美式,0.07320376504834257
生菜,0.07281968386477629
早餐,0.07153175351025848
沙拉,0.06455194467780864
經典,0.0619562745745955
推推,0.057592310434455216
推薦,0.05689548124932079
口感,0.05645182932217689
紅茶,0.05635223446090423
套餐,0.056299673258453885
搭配,0.055106605194172875
甜酒,0.04967140526248491
香氣,0.04887976281431328
不能,0.046795270889004384
一次,0.04501377506144805
完全,0.04458541884207563
盎司,0.04168186412450027
焦脆,0.041307997444644785
直接,0.03865569149335341
醬汁,0.03781587637163504
甜度,0.03605428321743163
記憶點,0.03393905490925418
牛肉,0.018147118857206074
