term,score
份量,0.1077827640779089
沙拉,0.10472002666319381
蔬食,0.10268235973386564
一道,0.10212812168041396
美味,0.09567304966208312
濃湯,0.07956049936674132
全素,0.07845202905036895
特色,0.07665725816560476
素食,0.07664430375042461
建議,0.07457041976424175
食材,0.07398194422405356
單上,0.07381846684733634
沒有,0.07105976722979551
佛陀,0.07098406892457881
素食者,0.06977252582395913
培根,0.0672227480935748
更是,0.06635150362555757
新鮮,0.06576614948199615
推薦,0.06546562536205792
口感,0.06133379290180444
用心,0.05909081584368095
訂位,0.05888011081993129
鮭魚,0.05765543202446329
適合,0.056695703990669
大利,0.05340376250232673
交通,0.05150145323099606
驚艷,0.048947439431539994
清爽,0.048747370137684966
提拉,0.04792160073224595
魚卵,0.04785416984551468
