term,score
湯頭,0.15487152838394314
素食,0.14827154507927523
蔬菜,0.136183008260024
101,0.13453253414409427
喜歡,0.12153838586000114
食材,0.1172336725695073
美味,0.1160826820383723
方便,0.10529218631507076
醬料,0.09794287416440414
挑選,0.0933611585763609
香椿,0.09288770516200302
中藥味,0.0845071597616
清爽,0.07881472775266732
蔬食,0.07647405118103207
還有,0.07444560416858328
自己,0.07397900698889374
自行,0.06907507462013382
辣椒,0.06833530154087271
結帳,0.059954756140469696
不要,0.059954756140469696
海苔,0.057032712384429585
柚子,0.057032712384429585
200,0.05556117656038578
