term,score
大利,0.1582428063443701
服務人員,0.10627642308307376
起來,0.10583141448166797
義式,0.10426675153900053
提拉,0.10080219179266788
甜點,0.09754070827916245
推薦,0.08719036375175893
套餐,0.08322319960251054
雙人,0.07940698203724726
沙拉,0.07201578293682442
客人,0.06993642538151294
午餐,0.06990792314324734
主餐,0.0693470544240901
喜歡,0.06727898057588931
雞肉燉,0.06684578988647337
不錯,0.06470645524622631
一直,0.06423548643045572
整體,0.0636253004624899
親切,0.06338733182838843
點了,0.06219914708412837
不過,0.0589169543955952
搭配,0.05657201298564875
商業,0.05622680662855688
部分,0.05601756332745442
口感,0.051780007858260035
自己,0.051223380241221556
清爽,0.05076995073161211
下次,0.050340511168696415
cp,0.04854780789448066
適合,0.048308028300245005
