term,score
知道,0.14996748152532183
甚至,0.09668278752778736
鮑魚,0.09242126745642976
調味,0.09152272520211707
布丁,0.08571431986459097
炒飯,0.08368759729946382
蘇海膽,0.07760250500924265
a4,0.0600113350245819
龍蝦,0.05311143934875978
一道,0.051695327338879896
一層,0.047935126543050356
安排,0.04313098007827884
服務人員,0.04252282776023063
二店,0.03783456119982888
粒粒,0.037754503581340096
一直,0.03564889062667458
高級,0.034595420462803284
驚喜,0.03118303043513315
分明,0.03097447951897063
焦糖,0.02371716848134628
海膽,0.017540335705751683
只有,0.016402200557731686
入口,0.015529160484058047
特別,0.015067185860404737
收尾,0.014083123559056537
預約,0.010285917391305355
用餐,0.009088017318956212
甜點,0.007197614908493813
體驗,0.0062170486023784555
這個,0.0036711568077898438
