term,score
搭配,0.10189183083452916
喜歡,0.09491342522103788
貼心,0.07855085940339784
美味,0.07683523829057665
清楚,0.06400557750110916
朋友,0.06223635248905604
鐵板燒,0.057867606614637024
will,0.05424749324166969
每道菜,0.05393428390805691
一樣,0.05380493430000486
台北,0.05282664835555489
層次,0.05243580204092192
玉米,0.048291304730923426
親切,0.04774991070034386
訂位,0.044047605865157026
鹿兒島,0.04089126315685837
師傅,0.03830395603960748
推薦,0.037099018966226804
原本,0.03667908397539887
合理,0.03575988269335588
主餐,0.030864651473438413
牛排,0.028848609463998403
本身,0.021612782864521056
鐵板,0.020449219828669873
食材,0.020440135484732322
空間,0.01868836472217452
干貝,0.017428605926634685
用心,0.015302228597900591
主廚,0.015293858692342815
創意,0.013746518121538376
