term,score
特別,0.15695919680506226
服務人員,0.11277000517014962
瓦城,0.09344570178031066
加強,0.09131807302343894
風味,0.07938960693472044
海南,0.06823230882225997
集團,0.06204545828923336
胡椒,0.051030318536340054
亞洲,0.0424585277864406
有待,0.04081044579582842
只有,0.03974614075878712
份量,0.03638001409609227
旅行,0.03079911945470607
排骨,0.03048907262485412
咖啡,0.029624546894837844
服務生,0.024829194536319835
需要,0.02098162250501212
肉骨,0.011146249374944545
用餐,0.00896044746133138
第一次,0.006458430367045048
試試,0.003757117476215946
