term,score
食材,0.13990532255649446
不好,0.09589589381350527
不新鮮,0.07970274098491846
腥味,0.07812522762210719
蝦子,0.05695640350413503
只有,0.05635767182158423
方式,0.047124606304639514
點餐,0.037052110735477733
主食,0.028902078653742634
朋友,0.027500992111909144
花椰菜,0.02364841886785285
便宜,0.019857301046772732
基底,0.01802326968563009
搭配,0.016846111813638227
配菜,0.01659569022480801
雞肉,0.015596571372885615
喜歡,0.010303254585979985
生魚,0.008909955945505907
每次,0.008846271621046509
份量,0.007936362772004754
不會,0.004870016397707927
加上,0.002085501863740416
生菜,0.0006642848167445134
