term,score
鮭魚,0.07339851404094101
cp,0.0671194835613923
醬料,0.06395225420962354
糙米,0.06346507234929741
新鮮,0.06323269491834908
清爽,0.05871897735254508
平價,0.05819194223199675
健康,0.05623189126795171
144,0.05528962394036458
沙拉,0.050067766547900405
算是,0.04762952500383538
醬油,0.046185615375301185
口感,0.04387280422206858
適合,0.04205445130319311
胡麻,0.041777470180372096
蛋白,0.041468070781484755
整體,0.04016349255954598
公館,0.03980119890624499
推推,0.03926456218785457
poke,0.038910741730998094
選擇,0.03883041877721432
調味,0.0368521845475907
辣味,0.03657312222051013
毛豆,0.03378657541911738
開胃,0.03319105629592257
各半,0.03267067385238578
配料,0.0325850191946386
美乃滋,0.03111927803006605
內用,0.03058283221037144
用餐,0.030010139184019458
