term,score
鬆餅,0.24840392329651928
可頌,0.18289564874407704
親切,0.13478751356088559
croffle,0.13298547762897364
酥脆,0.12008148971197262
桂花,0.10778049105948431
可朗,0.10472750216885134
下次,0.09866763820534015
口感,0.09214213847433869
原味,0.08776895379074415
好喝,0.081975219363254
yellow,0.0718204286273207
喜歡,0.06863410093578255
飲料,0.06761955589224122
咖啡,0.06274788075835165
巧克力,0.06149558770327287
現烤,0.06090456933967242
每個,0.05555414101041638
今天,0.05500372869384541
楓糖,0.05266213185330743
肉桂,0.05266213185330743
心情,0.050943137631614545
