term,score
麻辣,0.1517756604265158
飲料,0.12032886178721174
炸雞,0.10523548404134044
韓式,0.10450220845840008
清淡,0.09241426075320644
份量,0.08869483148085212
年糕,0.08867054552901406
韓國,0.08292756223582713
薯條,0.08178468358505064
奶昔,0.07884961878509071
不錯,0.0772640175112956
漢堡,0.07434149901404707
一點,0.06927227711934607
調味,0.06908810925794823
一口,0.06690034335205934
一起,0.06616634345229488
特別,0.06254490041438462
很脆,0.06048620147496514
酥脆,0.05818103797303173
妹妹,0.05754336604623615
整體,0.05734506915673469
內用,0.05674763038583899
適合,0.055563001657933084
多汁,0.0542745848339173
續杯,0.05424888081747031
很多,0.053795695248376255
搭配,0.05304446234725676
甜甜的,0.05246704737825186
半半炸,0.05069789736235054
招牌,0.050520847960949036
